jahr;gemeinde_nummer;gemeinde;bezirk_nummer;bezirk;versorgungsregion_code;versorgungsregion;versorgungsregion_aggriegiert_code;versorgungsregion_aggriegiert;anfangsbestand;geburten;todesfaelle;geburtenueberschuss;zuzuege;wegzuege;wanderungssaldo;bereinigung_saldo;gesamtveraenderung;endbestand
1980;2761;Aesch (BL);1301;Bezirk Arlesheim;3;VR Alter Birsstadt;3;VR Alter Birsstadt;7922;102;41;61;850;796;54;-72;43;7965
1980;2762;Allschwil;1301;Bezirk Arlesheim;1;VR Alter und Gesundheit ABS;1;VR Alter und Gesundheit ABS;18065;202;151;51;1449;1590;-141;-5;-95;17970
1980;2763;Arlesheim;1301;Bezirk Arlesheim;3;VR Alter Birsstadt;3;VR Alter Birsstadt;8421;88;69;19;784;801;-17;2;4;8425
1980;2764;Biel-Benken;1301;Bezirk Arlesheim;4;VR BPA Leimental;4;VR BPA Leimental;1894;17;11;6;182;147;35;-11;30;1924
1980;2765;Binningen;1301;Bezirk Arlesheim;1;VR Alter und Gesundheit ABS;1;VR Alter und Gesundheit ABS;14536;115;105;10;1544;1539;5;-89;-74;14462
1980;2766;Birsfelden;1301;Bezirk Arlesheim;2;VR APG Rheintal;2;VR APG Rheintal;13048;121;98;23;879;1120;-241;-3;-221;12827
1980;2767;Bottmingen;1301;Bezirk Arlesheim;4;VR BPA Leimental;4;VR BPA Leimental;4711;54;26;28;750;515;235;-72;191;4902
1980;2768;Ettingen;1301;Bezirk Arlesheim;4;VR BPA Leimental;4;VR BPA Leimental;3834;71;12;59;604;404;200;-37;222;4056
1980;2769;Münchenstein;1301;Bezirk Arlesheim;3;VR Alter Birsstadt;3;VR Alter Birsstadt;11181;102;90;12;834;1005;-171;1;-158;11023
1980;2770;Muttenz;1301;Bezirk Arlesheim;2;VR APG Rheintal;2;VR APG Rheintal;16952;176;111;65;1405;1417;-12;0;53;17005
1980;2771;Oberwil (BL);1301;Bezirk Arlesheim;4;VR BPA Leimental;4;VR BPA Leimental;7661;72;49;23;743;668;75;3;101;7762
1980;2772;Pfeffingen;1301;Bezirk Arlesheim;3;VR Alter Birsstadt;3;VR Alter Birsstadt;1252;7;4;3;132;87;45;0;48;1300
1980;2773;Reinach (BL);1301;Bezirk Arlesheim;3;VR Alter Birsstadt;3;VR Alter Birsstadt;17658;200;88;112;1703;1462;241;28;381;18039
1980;2774;Schönenbuch;1301;Bezirk Arlesheim;1;VR Alter und Gesundheit ABS;1;VR Alter und Gesundheit ABS;746;6;6;0;74;47;27;-5;22;768
1980;2775;Therwil;1301;Bezirk Arlesheim;4;VR BPA Leimental;4;VR BPA Leimental;7376;89;37;52;630;714;-84;-4;-36;7340
1980;2821;Arisdorf;1303;Bezirk Liestal;6;VR Alters- und Pflegeregion Liestal;6;VR Alters- und Pflegeregion Liestal;998;12;5;7;82;63;19;3;29;1027
1980;2822;Augst;1303;Bezirk Liestal;2;VR APG Rheintal;2;VR APG Rheintal;836;17;8;9;135;170;-35;4;-22;814
1980;2823;Bubendorf;1303;Bezirk Liestal;6;VR Alters- und Pflegeregion Liestal;6;VR Alters- und Pflegeregion Liestal;2174;28;17;11;251;199;52;2;65;2239
1980;2824;Frenkendorf;1303;Bezirk Liestal;6;VR Alters- und Pflegeregion Liestal;6;VR Alters- und Pflegeregion Liestal;5485;74;41;33;617;629;-12;-46;-25;5460
1980;2825;Füllinsdorf;1303;Bezirk Liestal;6;VR Alters- und Pflegeregion Liestal;6;VR Alters- und Pflegeregion Liestal;4134;53;20;33;334;411;-77;-37;-81;4053
1980;2826;Giebenach;1303;Bezirk Liestal;2;VR APG Rheintal;2;VR APG Rheintal;321;5;2;3;74;25;49;2;54;375
